Gene	Regulation	entrezID
RP11-34P13.15	up	NA
RP11-34P13.16	up	NA
RP11-34P13.14	up	NA
RP11-34P13.13	up	NA
TNFRSF9	up	3604
RBP7	up	116362
TNFRSF8	up	943
TNFRSF1B	up	7133
PADI2	up	11240
PADI4	up	23569
PADI6	up	353238
ARHGEF10L	up	55160
CDA	up	978
KIF17	up	57576
C1QA	up	712
C1QC	up	714
C1QB	up	713
EPHB2	up	2048
IFNLR1	up	163702
MAN1C1	up	57134
UBXN11	up	91544
FGR	up	2268
THEMIS2	up	9473
RP5-1053E7.3	up	NA
PTAFR	up	5724
SDC3	up	9672
RP4-789D17.4	up	NA
MYCL	up	4610
RP1-228H13.2	up	NA
RP11-117D22.2	up	NA
BSND	up	7809
ST6GALNAC3	up	256435
PTGFR	up	5737
RP5-887A10.1	up	NA
GBP1	up	2633
EVI5	up	7813
ARHGAP29	up	9411
DPYD	up	1806
DPYD-AS1	up	100873932
DPYD-IT1	up	100874267
SEC63P1	up	100420341
RPL26P9	up	100270885
RP11-272L13.2	up	NA
DPYD-AS2	up	100873933
RP11-272L13.4	up	NA
RP11-356N1.2	up	NA
C1orf162	up	128346
TMIGD3	up	57413
PPM1J	up	333926
OLFML3	up	56944
SYT6	up	148281
CD101	up	9398
RP5-1042I8.7	up	NA
FCGR1B	up	2210
RP11-439A17.9	up	NA
FCGR1C	up	NA
RP5-998N21.4	up	NA
SRGAP2B	up	647135
FCGR1A	up	2209
MTMR11	up	10903
HORMAD1	up	84072
CTSS	up	1520
S100A10	up	6281
S100A11	up	6282
S100A9	up	6280
S100A12	up	6283
S100A8	up	6279
S100A6	up	6277
S100A4	up	6275
ZBTB7B	up	51043
ARHGEF11	up	9826
CD1D	up	912
RP11-404O13.5	up	NA
CD1A	up	909
CD1C	up	911
CD1B	up	910
CD1E	up	913
MNDA	up	4332
AIM2	up	9447
SETP9	up	100129738
RP11-404F10.2	up	NA
CD48	up	962
SLAMF7	up	57823
FCER1G	up	2207
APOA2	up	336
FCGR2A	up	2212
HSPA6	up	3310
FCGR3A	up	2214
FCGR2C	up	9103
HSPA7	up	3311
FCGR3B	up	2215
FCGR2B	up	2213
RP11-25K21.1	up	NA
FCRLA	up	84824
F5	up	2153
NPL	up	80896
NCF2	up	4688
RGL1	up	23179
PTGS2	up	5743
RGS2	up	5997
ADORA1	up	134
MYBPH	up	4608
LINC01353	up	100506775
NUAK2	up	81788
IL10	up	3586
PIGR	up	5284
C4BPB	up	725
CR1	up	1378
RP11-78B10.2	up	NA
G0S2	up	50486
TLR5	up	7100
CAPN2	up	824
RP11-552D4.1	up	NA
RP11-295G20.2	up	NA
RGS7	up	6000
KMO	up	8564
KIF26B	up	55083
RP11-542H15.1	up	NA
FAM49A	up	81553
RP11-373D23.3	up	NA
NLRC4	up	58484
QPCT	up	25797
CDC42EP3	up	10602
CYP1B1	up	1545
CYP1B1-AS1	up	285154
RP11-314C9.1	up	NA
SLC8A1-AS1	up	100128590
SLC8A1	up	6546
AC012368.1	up	NA
PELI1	up	57162
AC074289.1	up	NA
CLEC4F	up	165530
CD207	up	50489
AC012454.4	up	NA
ATOH8	up	84913
